Category,Product Name,Product Link,Image Link,Price
Men,Levi's Men's 512 Slim Tapered Jeans,https://www.amazon.in/s?k=Levi%27s%20Men%27s%20512%20Slim%20Tapered%20Jeans,"https://loremflickr.com/400/500/jeans,men?lock=1","₹2,599"
Men,Allen Solly Men's Polo T-Shirt,https://www.amazon.in/s?k=Allen%20Solly%20Men%27s%20Polo%20T-Shirt,"https://loremflickr.com/400/500/polo,shirt?lock=2",₹799
Men,Puma Men's Running Shoes,https://www.amazon.in/s?k=Puma%20Men%27s%20Running%20Shoes,"https://loremflickr.com/400/500/shoes,men?lock=3","₹2,999"
Men,U.S. POLO ASSN. Men's Cotton Shirt,https://www.amazon.in/s?k=U.S.%20POLO%20ASSN.%20Men%27s%20Cotton%20Shirt,"https://loremflickr.com/400/500/shirt,men?lock=4","₹1,299"
Men,Jack & Jones Men's Printed T-Shirt,https://www.amazon.in/s?k=Jack%20%26%20Jones%20Men%27s%20Printed%20T-Shirt,"https://loremflickr.com/400/500/tshirt,men?lock=5",₹699
Men,Raymond Men's Formal Trousers,https://www.amazon.in/s?k=Raymond%20Men%27s%20Formal%20Trousers,"https://loremflickr.com/400/500/trousers,men?lock=6","₹1,499"
Men,Tommy Hilfiger Men's Hoodie,https://www.amazon.in/s?k=Tommy%20Hilfiger%20Men%27s%20Hoodie,"https://loremflickr.com/400/500/hoodie,men?lock=7","₹3,499"
Men,Wrangler Men's Regular Fit Jeans,https://www.amazon.in/s?k=Wrangler%20Men%27s%20Regular%20Fit%20Jeans,"https://loremflickr.com/400/500/jeans,apparel?lock=8","₹1,899"
Men,Adidas Men's Track Pants,https://www.amazon.in/s?k=Adidas%20Men%27s%20Track%20Pants,"https://loremflickr.com/400/500/trackpants,men?lock=9","₹1,599"
Men,Nike Men's Sports Jacket,https://www.amazon.in/s?k=Nike%20Men%27s%20Sports%20Jacket,"https://loremflickr.com/400/500/jacket,men?lock=10","₹3,999"
Women,Biba Women's Kurta Set,https://www.amazon.in/s?k=Biba%20Women%27s%20Kurta%20Set,"https://loremflickr.com/400/500/kurti,women?lock=11","₹1,999"
Women,ONLY Women's Denim Jacket,https://www.amazon.in/s?k=ONLY%20Women%27s%20Denim%20Jacket,"https://loremflickr.com/400/500/denim,jacket,women?lock=12","₹2,199"
Women,W for Woman A-Line Kurta,https://www.amazon.in/s?k=W%20for%20Woman%20A-Line%20Kurta,"https://loremflickr.com/400/500/kurta,women?lock=13","₹1,299"
Women,Vero Moda Women's Skater Dress,https://www.amazon.in/s?k=Vero%20Moda%20Women%27s%20Skater%20Dress,"https://loremflickr.com/400/500/dress,women?lock=14","₹1,599"
Women,H&M Women's Oversized T-Shirt,https://www.amazon.in/s?k=H%26M%20Women%27s%20Oversized%20T-Shirt,"https://loremflickr.com/400/500/tshirt,women?lock=15",₹799
Women,Levi's Women's 711 Skinny Jeans,https://www.amazon.in/s?k=Levi%27s%20Women%27s%20711%20Skinny%20Jeans,"https://loremflickr.com/400/500/jeans,women?lock=16","₹2,199"
Women,FabIndia Women's Cotton Saree,https://www.amazon.in/s?k=FabIndia%20Women%27s%20Cotton%20Saree,"https://loremflickr.com/400/500/saree,women?lock=17","₹3,499"
Women,Marks & Spencer Women's Trousers,https://www.amazon.in/s?k=Marks%20%26%20Spencer%20Women%27s%20Trousers,"https://loremflickr.com/400/500/trousers,women?lock=18","₹1,899"
Women,Mango Women's Midi Dress,https://www.amazon.in/s?k=Mango%20Women%27s%20Midi%20Dress,"https://loremflickr.com/400/500/mididress,women?lock=19","₹2,999"
Women,Forever 21 Women's Crop Top,https://www.amazon.in/s?k=Forever%2021%20Women%27s%20Crop%20Top,"https://loremflickr.com/400/500/croptop,women?lock=20",₹699
Accessories,Ray-Ban Aviator Sunglasses,https://www.amazon.in/s?k=Ray-Ban%20Aviator%20Sunglasses,https://loremflickr.com/400/500/sunglasses?lock=21,"₹5,499"
Accessories,Casio G-Shock Men's Watch,https://www.amazon.in/s?k=Casio%20G-Shock%20Men%27s%20Watch,"https://loremflickr.com/400/500/watch,men?lock=22","₹7,499"
Accessories,Fossil Women's Rose Gold Watch,https://www.amazon.in/s?k=Fossil%20Women%27s%20Rose%20Gold%20Watch,"https://loremflickr.com/400/500/watch,women?lock=23","₹8,999"
Accessories,Fastrack Men's Leather Wallet,https://www.amazon.in/s?k=Fastrack%20Men%27s%20Leather%20Wallet,"https://loremflickr.com/400/500/wallet,men?lock=24",₹899
Accessories,Tommy Hilfiger Women's Handbag,https://www.amazon.in/s?k=Tommy%20Hilfiger%20Women%27s%20Handbag,"https://loremflickr.com/400/500/handbag,women?lock=25","₹3,299"
Accessories,Titan Neo Men's Analog Watch,https://www.amazon.in/s?k=Titan%20Neo%20Men%27s%20Analog%20Watch,https://loremflickr.com/400/500/watch?lock=26,"₹2,499"
Accessories,Lavie Women's Tote Bag,https://www.amazon.in/s?k=Lavie%20Women%27s%20Tote%20Bag,"https://loremflickr.com/400/500/totebag,women?lock=27","₹1,599"
Accessories,Daniel Wellington Classic Cuff,https://www.amazon.in/s?k=Daniel%20Wellington%20Classic%20Cuff,"https://loremflickr.com/400/500/bracelet,accessories?lock=28","₹3,199"
Accessories,American Tourister Backpack,https://www.amazon.in/s?k=American%20Tourister%20Backpack,https://loremflickr.com/400/500/backpack?lock=29,"₹1,299"
Accessories,Caprese Women's Sling Bag,https://www.amazon.in/s?k=Caprese%20Women%27s%20Sling%20Bag,"https://loremflickr.com/400/500/slingbag,women?lock=30","₹1,499"
